Order_ID,Gender_Category,Product_Line,Product_Name,Size,Units_Sold,MRP,Discount_Applied,Revenue,Order_Date,Sales_Channel,Region,Profit
2000,Kids,Training,SuperRep Go,M,2.0,6110.030000000001,0.47,0.0,2024-03-09,Online,Bengaluru,-770.45
2001,Women,Soccer,Tiempo Legend,M,3.0,4957.93,0.615,0.0,2024-07-09,Retail,Hyd,-112.53
2014,Women,Running,React Infinity,11,2.0,6110.030000000001,0.615,0.0,2025-04-12,Online,Bangalore,-1044.4
2026,Kids,Lifestyle,Blazer Mid,XL,1.0,6110.030000000001,0.16,0.0,2024-08-10,Retail,Kolkata,2301.64
2029,Men,Training,ZoomX Invincible,12,0.0,6110.030000000001,0.615,0.0,2023-10-28,Online,Bangalore,-185.67
2031,Men,Soccer,Premier III,Unknown,4.0,3493.04,0.82,2514.99,2024-05-09,Online,Delhi,350.7
2043,Men,Soccer,Premier III,XL,2.0,3492.89,0.77,0.0,2024-05-02,Retail,Delhi,3770.75
2044,Kids,Training,SuperRep Go,Unknown,2.0,6110.030000000001,0.615,0.0,2023-09-06,Online,Delhi,2174.71
2045,Kids,Lifestyle,Dunk Low,XL,4.0,6110.030000000001,0.615,0.0,2025-04-06,Retail,Delhi,1833.94
2047,Women,Training,SuperRep Go,10,1.0,8577.75,0.615,0.0,2024-06-13,Retail,Bangalore,2888.68
2051,Women,Basketball,Air Jordan,XL,2.0,6110.030000000001,0.37,0.0,2024-01-05,Retail,Delhi,3135.98
2052,Men,Training,Flex Trainer,10,3.0,9155.96,0.615,0.0,2024-10-08,Retail,Pune,2184.8
2056,Men,Running,React Infinity,L,3.0,6110.030000000001,0.615,0.0,2024-05-31,Retail,Bangalore,-244.44
2059,Kids,Soccer,Phantom GT,Unknown,-1.0,9507.54,0.615,0.0,2023-12-27,Retail,Delhi,291.28
2060,Men,Lifestyle,Waffle One,L,2.0,7979.26,0.615,0.0,2024-07-11,Online,Bengaluru,2821.59
2065,Women,Lifestyle,Waffle One,10,2.0,6110.030000000001,0.78,0.0,2024-02-11,Retail,Hyd,21.58
2066,Men,Soccer,Phantom GT,XL,-1.0,5259.05,0.615,0.0,2024-12-10,Online,Mumbai,1022.82
2069,Women,Training,SuperRep Go,Unknown,2.0,7502.24,0.615,0.0,2025-07-14,Online,Pune,3554.58
2077,Men,Training,ZoomX Invincible,L,2.0,6110.030000000001,0.615,0.0,2023-11-21,Online,Pune,3332.66
2080,Men,Lifestyle,Blazer Mid,L,2.0,6110.030000000001,0.615,0.0,2025-03-31,Online,Bangalore,-1005.89
2028,Men,Running,Free RN,Unknown,-1.0,6110.030000000001,0.21,0.0,2024-02-14,Online,Hyderabad,3303.01
2084,Men,Training,Metcon 7,M,2.0,6110.030000000001,0.615,0.0,2023-12-24,Online,Mumbai,408.39
2086,Men,Soccer,Mercurial Superfly,L,0.0,6110.030000000001,0.45,0.0,2024-10-11,Online,Kolkata,1742.66
2098,Men,Training,ZoomX Invincible,L,2.0,5690.69,0.69,0.0,2024-01-24,Online,Hyderbad,98.3
2100,Kids,Soccer,Phantom GT,8,1.0,5937.52,0.615,0.0,2025-07-11,Retail,Mumbai,2287.57
2110,Kids,Running,Air Zoom,12,1.0,6110.030000000001,0.42,0.0,2024-12-25,Retail,Pune,-259.29
2113,Women,Basketball,Air Jordan,XL,2.0,3939.34,0.615,0.0,2023-12-19,Retail,Pune,2918.93
2117,Women,Training,SuperRep Go,L,0.0,7645.96,0.615,0.0,2024-10-30,Online,Pune,2037.43
2118,Kids,Basketball,Zoom Freak,XL,2.0,8426.54,0.615,0.0,2023-09-21,Online,Hyderbad,2696.85
2000,Kids,Running,React Infinity,M,-1.0,6110.030000000001,0.615,0.0,2023-11-20,Retail,Kolkata,929.75
2127,Men,Training,Metcon 7,L,-1.0,4020.5,0.615,0.0,2023-08-19,Online,Mumbai,3718.37
2135,Men,Basketball,Zoom Freak,L,2.0,9106.61,0.74,4735.44,2024-11-03,Retail,Hyderbad,2422.38
2136,Kids,Training,ZoomX Invincible,L,1.0,6110.030000000001,0.615,0.0,2024-09-15,Online,Pune,3672.24
2141,Kids,Soccer,Tiempo Legend,Unknown,2.0,6110.030000000001,1.1,0.0,2023-11-22,Retail,Kolkata,-1032.47
2142,Kids,Soccer,Mercurial Superfly,Unknown,2.0,6110.030000000001,0.615,0.0,2024-10-03,Retail,Kolkata,-995.59
2147,Women,Soccer,Phantom GT,XL,-1.0,6110.030000000001,0.615,0.0,2024-09-14,Online,Hyderabad,-426.53
2151,Kids,Soccer,Tiempo Legend,L,4.0,5619.75,0.615,0.0,2025-05-27,Online,Bengaluru,2000.85
2154,Kids,Lifestyle,Blazer Mid,XL,2.0,2963.16,0.615,0.0,2025-04-01,Online,Bangalore,2381.85
2160,Kids,Running,Air Zoom,XL,2.0,6110.030000000001,0.615,0.0,2025-03-01,Retail,Mumbai,3744.91
2168,Women,Running,Pegasus Turbo,Unknown,2.0,6110.030000000001,0.85,0.0,2024-08-01,Retail,Kolkata,3011.49
2022,Women,Lifestyle,Air Force 1,L,2.0,9378.52,1.06,0.0,2023-10-29,Retail,Mumbai,128.92
2177,Women,Lifestyle,Waffle One,XL,2.0,6110.030000000001,0.615,0.0,2025-06-27,Retail,Mumbai,885.37
2179,Women,Training,ZoomX Invincible,M,3.0,6110.030000000001,0.615,0.0,2024-01-26,Retail,Pune,3135.92
2180,Women,Basketball,LeBron 20,XL,2.0,6110.030000000001,0.615,0.0,2024-05-15,Online,Pune,2189.84
2192,Men,Basketball,Kyrie Flytrap,XL,-1.0,6110.030000000001,0.615,0.0,2023-10-13,Retail,Delhi,554.91
2193,Women,Lifestyle,Waffle One,XL,-1.0,6110.030000000001,1.24,0.0,2025-01-17,Retail,Delhi,1803.66
2196,Kids,Soccer,Premier III,L,2.0,2708.73,0.615,0.0,2025-06-30,Online,Delhi,925.63
2197,Kids,Training,ZoomX Invincible,L,3.0,6110.030000000001,0.615,0.0,2024-10-06,Online,Bengaluru,-418.5
